feature,is_prohibited
subflow_fwd_pkts_std,False
subflow_fwd_pkts_sum,False
subflow_fwd_pkts_min,False
subflow_fwd_pkts_max,False
subflow_fwd_byts_mean,False
subflow_fwd_byts_std,False
subflow_fwd_byts_sum,False
subflow_fwd_byts_min,False
subflow_fwd_byts_max,False
subflow_bwd_pkts_mean,False
subflow_bwd_pkts_std,False
subflow_bwd_pkts_sum,False
subflow_bwd_pkts_min,False
subflow_bwd_pkts_max,False
subflow_bwd_byts_mean,False
subflow_bwd_byts_std,False
subflow_bwd_byts_sum,False
subflow_bwd_byts_min,False
subflow_bwd_byts_max,False
window_size_fwd_mean,False
window_size_fwd_std,False
window_size_fwd_sum,False
window_size_fwd_min,False
window_size_fwd_max,False
window_size_bwd_mean,False
window_size_bwd_std,False
window_size_bwd_sum,False
window_size_bwd_min,False
window_size_bwd_max,False
fwd_act_data_pkts_mean,False
fwd_act_data_pkts_std,False
fwd_act_data_pkts_sum,False
fwd_act_data_pkts_min,False
fwd_act_data_pkts_max,False
fwd_seg_size_min_mean,False
fwd_seg_size_min_std,False
fwd_seg_size_min_sum,False
fwd_seg_size_min_min,False
fwd_seg_size_min_max,False
active_mean_mean,False
active_mean_std,False
active_mean_sum,False
active_mean_min,False
active_mean_max,False
active_std_mean,False
active_std_std,False
active_std_sum,False
active_std_min,False
active_std_max,False
active_max_mean,False
active_max_std,False
active_max_sum,False
active_max_min,False
active_max_max,False
active_min_mean,False
active_min_std,False
active_min_sum,False
active_min_min,False
active_min_max,False
idle_mean_mean,False
idle_mean_std,False
idle_mean_sum,False
idle_mean_min,False
idle_mean_max,False
idle_std_mean,False
idle_std_std,False
idle_std_sum,False
idle_std_min,False
idle_std_max,False
idle_max_mean,False
idle_max_std,False
idle_max_sum,False
idle_max_min,False
idle_max_max,False
idle_min_mean,False
idle_min_std,False
idle_min_sum,False
idle_min_min,False
idle_min_max,False
duration_sec_mean,False
duration_sec_std,False
duration_sec_sum,False
duration_sec_min,False
duration_sec_max,False
flow_count,False
unique_dst_ports_count,False
unique_protocols_count,False
pkt_ttl_min,False
pkt_ttl_max,False
pkt_ttl_std,False
pkt_ttl_mode,False
pkt_frag_mf_count,False
pkt_frag_df_count,False
pkt_payload_size_p25,False
pkt_payload_size_p50,False
pkt_payload_size_p75,False
pkt_payload_size_p95,False
pkt_tcp_retrans_count,False
pkt_port_scan_seq_score,False
