fold_id,window_id,label_binary,future_attack_label,attack_type,episode_id,forecast_episode_id
7,2610,0,0,Benign,02-03-2018_Benign_2,
8,2614,0,0,Benign,02-03-2018_Benign_2,
8,2613,0,0,Benign,02-03-2018_Benign_2,
8,2612,0,0,Benign,02-03-2018_Benign_2,
8,2611,0,0,Benign,02-03-2018_Benign_2,
8,2610,0,0,Benign,02-03-2018_Benign_2,
8,2609,0,0,Benign,02-03-2018_Benign_2,
8,2608,0,0,Benign,02-03-2018_Benign_2,
9,2614,0,0,Benign,02-03-2018_Benign_2,
9,2613,0,0,Benign,02-03-2018_Benign_2,
9,2612,0,0,Benign,02-03-2018_Benign_2,
9,2611,0,0,Benign,02-03-2018_Benign_2,
9,2610,0,0,Benign,02-03-2018_Benign_2,
10,55,0,0,Benign,14-02-2018_Benign_0,
10,54,0,0,Benign,14-02-2018_Benign_0,
10,53,0,0,Benign,14-02-2018_Benign_0,
10,52,0,0,Benign,14-02-2018_Benign_0,
10,51,0,0,Benign,14-02-2018_Benign_0,
10,50,0,0,Benign,14-02-2018_Benign_0,
11,55,0,0,Benign,14-02-2018_Benign_0,
11,54,0,0,Benign,14-02-2018_Benign_0,
11,53,0,0,Benign,14-02-2018_Benign_0,
11,52,0,0,Benign,14-02-2018_Benign_0,
11,51,0,0,Benign,14-02-2018_Benign_0,
12,55,0,0,Benign,14-02-2018_Benign_0,
12,54,0,0,Benign,14-02-2018_Benign_0,
12,53,0,0,Benign,14-02-2018_Benign_0,
12,52,0,0,Benign,14-02-2018_Benign_0,
12,51,0,0,Benign,14-02-2018_Benign_0,
12,50,0,0,Benign,14-02-2018_Benign_0,
12,49,0,0,Benign,14-02-2018_Benign_0,
12,48,0,0,Benign,14-02-2018_Benign_0,
12,47,0,0,Benign,14-02-2018_Benign_0,
12,46,0,0,Benign,14-02-2018_Benign_0,
13,55,0,0,Benign,14-02-2018_Benign_0,
13,54,0,0,Benign,14-02-2018_Benign_0,
13,53,0,0,Benign,14-02-2018_Benign_0,
13,52,0,0,Benign,14-02-2018_Benign_0,
13,51,0,0,Benign,14-02-2018_Benign_0,
14,55,0,0,Benign,14-02-2018_Benign_0,
14,54,0,0,Benign,14-02-2018_Benign_0,
14,53,0,0,Benign,14-02-2018_Benign_0,
14,52,0,0,Benign,14-02-2018_Benign_0,
14,51,0,0,Benign,14-02-2018_Benign_0,
14,50,0,0,Benign,14-02-2018_Benign_0,
14,49,0,0,Benign,14-02-2018_Benign_0,
14,48,0,0,Benign,14-02-2018_Benign_0,
15,55,0,0,Benign,14-02-2018_Benign_0,
15,54,0,0,Benign,14-02-2018_Benign_0,
15,53,0,0,Benign,14-02-2018_Benign_0,
15,52,0,0,Benign,14-02-2018_Benign_0,
15,51,0,0,Benign,14-02-2018_Benign_0,
15,50,0,0,Benign,14-02-2018_Benign_0,
15,49,0,0,Benign,14-02-2018_Benign_0,
15,48,0,0,Benign,14-02-2018_Benign_0,
15,47,0,0,Benign,14-02-2018_Benign_0,
15,46,0,0,Benign,14-02-2018_Benign_0,
15,45,0,0,Benign,14-02-2018_Benign_0,
15,44,0,0,Benign,14-02-2018_Benign_0,
16,153,0,0,Benign,14-02-2018_Benign_9,
16,154,0,0,Benign,14-02-2018_Benign_9,
16,155,0,0,Benign,14-02-2018_Benign_9,
16,156,0,0,Benign,14-02-2018_Benign_9,
16,157,0,0,Benign,14-02-2018_Benign_9,
16,158,0,0,Benign,14-02-2018_Benign_9,
16,159,0,0,Benign,14-02-2018_Benign_9,
16,160,0,0,Benign,14-02-2018_Benign_9,
16,161,0,0,Benign,14-02-2018_Benign_9,
16,162,0,0,Benign,14-02-2018_Benign_9,
16,163,0,0,Benign,14-02-2018_Benign_9,
16,164,0,0,Benign,14-02-2018_Benign_9,
16,165,0,0,Benign,14-02-2018_Benign_9,
16,166,0,0,Benign,14-02-2018_Benign_9,
16,167,0,0,Benign,14-02-2018_Benign_9,
16,168,0,0,Benign,14-02-2018_Benign_9,
16,169,0,0,Benign,14-02-2018_Benign_9,
16,170,0,0,Benign,14-02-2018_Benign_9,
16,171,0,0,Benign,14-02-2018_Benign_9,
16,172,0,0,Benign,14-02-2018_Benign_9,
16,173,0,0,Benign,14-02-2018_Benign_9,
16,174,0,0,Benign,14-02-2018_Benign_9,
16,175,0,0,Benign,14-02-2018_Benign_9,
16,176,0,0,Benign,14-02-2018_Benign_9,
16,177,0,0,Benign,14-02-2018_Benign_9,
16,178,0,0,Benign,14-02-2018_Benign_9,
16,179,0,0,Benign,14-02-2018_Benign_9,
16,180,0,0,Benign,14-02-2018_Benign_9,
16,181,0,0,Benign,14-02-2018_Benign_9,
16,182,0,0,Benign,14-02-2018_Benign_9,
16,183,0,0,Benign,14-02-2018_Benign_9,
16,184,0,0,Benign,14-02-2018_Benign_9,
16,55,0,0,Benign,14-02-2018_Benign_0,
17,153,0,0,Benign,14-02-2018_Benign_9,
17,154,0,0,Benign,14-02-2018_Benign_9,
17,155,0,0,Benign,14-02-2018_Benign_9,
17,156,0,0,Benign,14-02-2018_Benign_9,
17,157,0,0,Benign,14-02-2018_Benign_9,
17,158,0,0,Benign,14-02-2018_Benign_9,
18,153,0,0,Benign,14-02-2018_Benign_9,
18,154,0,0,Benign,14-02-2018_Benign_9,
18,155,0,0,Benign,14-02-2018_Benign_9,
18,156,0,0,Benign,14-02-2018_Benign_9,
18,157,0,0,Benign,14-02-2018_Benign_9,
18,158,0,0,Benign,14-02-2018_Benign_9,
18,159,0,0,Benign,14-02-2018_Benign_9,
19,671,0,0,Benign,21-02-2018_Benign_1,
19,670,0,0,Benign,21-02-2018_Benign_1,
19,669,0,0,Benign,21-02-2018_Benign_1,
19,668,0,0,Benign,21-02-2018_Benign_1,
19,667,0,0,Benign,21-02-2018_Benign_1,
19,666,0,0,Benign,21-02-2018_Benign_1,
20,671,0,0,Benign,21-02-2018_Benign_1,
20,670,0,0,Benign,21-02-2018_Benign_1,
20,669,0,0,Benign,21-02-2018_Benign_1,
20,668,0,0,Benign,21-02-2018_Benign_1,
20,667,0,0,Benign,21-02-2018_Benign_1,
21,671,0,0,Benign,21-02-2018_Benign_1,
21,670,0,0,Benign,21-02-2018_Benign_1,
21,669,0,0,Benign,21-02-2018_Benign_1,
21,668,0,0,Benign,21-02-2018_Benign_1,
21,667,0,0,Benign,21-02-2018_Benign_1,
22,671,0,0,Benign,21-02-2018_Benign_1,
22,670,0,0,Benign,21-02-2018_Benign_1,
22,669,0,0,Benign,21-02-2018_Benign_1,
22,668,0,0,Benign,21-02-2018_Benign_1,
22,667,0,0,Benign,21-02-2018_Benign_1,
23,671,0,0,Benign,21-02-2018_Benign_1,
23,670,0,0,Benign,21-02-2018_Benign_1,
23,669,0,0,Benign,21-02-2018_Benign_1,
23,668,0,0,Benign,21-02-2018_Benign_1,
23,667,0,0,Benign,21-02-2018_Benign_1,
24,671,0,0,Benign,21-02-2018_Benign_1,
24,670,0,0,Benign,21-02-2018_Benign_1,
24,669,0,0,Benign,21-02-2018_Benign_1,
24,668,0,0,Benign,21-02-2018_Benign_1,
24,667,0,0,Benign,21-02-2018_Benign_1,
25,671,0,0,Benign,21-02-2018_Benign_1,
25,670,0,0,Benign,21-02-2018_Benign_1,
25,669,0,0,Benign,21-02-2018_Benign_1,
25,668,0,0,Benign,21-02-2018_Benign_1,
25,667,0,0,Benign,21-02-2018_Benign_1,
26,671,0,0,Benign,21-02-2018_Benign_1,
26,670,0,0,Benign,21-02-2018_Benign_1,
26,669,0,0,Benign,21-02-2018_Benign_1,
26,668,0,0,Benign,21-02-2018_Benign_1,
26,667,0,0,Benign,21-02-2018_Benign_1,
27,671,0,0,Benign,21-02-2018_Benign_1,
27,670,0,0,Benign,21-02-2018_Benign_1,
27,669,0,0,Benign,21-02-2018_Benign_1,
27,668,0,0,Benign,21-02-2018_Benign_1,
27,667,0,0,Benign,21-02-2018_Benign_1,
28,671,0,0,Benign,21-02-2018_Benign_1,
28,670,0,0,Benign,21-02-2018_Benign_1,
28,669,0,0,Benign,21-02-2018_Benign_1,
28,668,0,0,Benign,21-02-2018_Benign_1,
28,667,0,0,Benign,21-02-2018_Benign_1,
29,671,0,0,Benign,21-02-2018_Benign_1,
29,670,0,0,Benign,21-02-2018_Benign_1,
29,669,0,0,Benign,21-02-2018_Benign_1,
29,668,0,0,Benign,21-02-2018_Benign_1,
29,667,0,0,Benign,21-02-2018_Benign_1,
30,671,0,0,Benign,21-02-2018_Benign_1,
30,670,0,0,Benign,21-02-2018_Benign_1,
30,669,0,0,Benign,21-02-2018_Benign_1,
30,668,0,0,Benign,21-02-2018_Benign_1,
30,667,0,0,Benign,21-02-2018_Benign_1,
31,671,0,0,Benign,21-02-2018_Benign_1,
31,670,0,0,Benign,21-02-2018_Benign_1,
31,669,0,0,Benign,21-02-2018_Benign_1,
31,668,0,0,Benign,21-02-2018_Benign_1,
31,667,0,0,Benign,21-02-2018_Benign_1,
32,671,0,0,Benign,21-02-2018_Benign_1,
32,670,0,0,Benign,21-02-2018_Benign_1,
32,669,0,0,Benign,21-02-2018_Benign_1,
32,668,0,0,Benign,21-02-2018_Benign_1,
32,667,0,0,Benign,21-02-2018_Benign_1,
33,671,0,0,Benign,21-02-2018_Benign_1,
33,670,0,0,Benign,21-02-2018_Benign_1,
33,669,0,0,Benign,21-02-2018_Benign_1,
33,668,0,0,Benign,21-02-2018_Benign_1,
33,667,0,0,Benign,21-02-2018_Benign_1,
34,671,0,0,Benign,21-02-2018_Benign_1,
34,670,0,0,Benign,21-02-2018_Benign_1,
34,669,0,0,Benign,21-02-2018_Benign_1,
34,668,0,0,Benign,21-02-2018_Benign_1,
34,667,0,0,Benign,21-02-2018_Benign_1,
35,671,0,0,Benign,21-02-2018_Benign_1,
35,670,0,0,Benign,21-02-2018_Benign_1,
35,669,0,0,Benign,21-02-2018_Benign_1,
35,668,0,0,Benign,21-02-2018_Benign_1,
35,667,0,0,Benign,21-02-2018_Benign_1,
36,671,0,0,Benign,21-02-2018_Benign_1,
36,670,0,0,Benign,21-02-2018_Benign_1,
36,669,0,0,Benign,21-02-2018_Benign_1,
36,668,0,0,Benign,21-02-2018_Benign_1,
36,667,0,0,Benign,21-02-2018_Benign_1,
