column,exists_in_source_dataset,numeric_in_source_dataset,prohibited,finite_source_values
fwd_iat_max_max,True,True,False,True
fwd_iat_min_mean,True,True,False,True
fwd_iat_min_std,True,True,False,True
fwd_iat_min_sum,True,True,False,True
fwd_iat_min_min,True,True,False,True
fwd_iat_min_max,True,True,False,True
bwd_iat_tot_mean,True,True,False,True
bwd_iat_tot_std,True,True,False,True
bwd_iat_tot_sum,True,True,False,True
bwd_iat_tot_min,True,True,False,True
bwd_iat_tot_max,True,True,False,True
bwd_iat_mean_mean,True,True,False,True
bwd_iat_mean_std,True,True,False,True
bwd_iat_mean_sum,True,True,False,True
bwd_iat_mean_min,True,True,False,True
bwd_iat_mean_max,True,True,False,True
bwd_iat_std_mean,True,True,False,True
bwd_iat_std_std,True,True,False,True
bwd_iat_std_sum,True,True,False,True
bwd_iat_std_min,True,True,False,True
bwd_iat_std_max,True,True,False,True
bwd_iat_max_mean,True,True,False,True
bwd_iat_max_std,True,True,False,True
bwd_iat_max_sum,True,True,False,True
bwd_iat_max_min,True,True,False,True
bwd_iat_max_max,True,True,False,True
bwd_iat_min_mean,True,True,False,True
bwd_iat_min_std,True,True,False,True
bwd_iat_min_sum,True,True,False,True
bwd_iat_min_min,True,True,False,True
bwd_iat_min_max,True,True,False,True
fwd_psh_flags_mean,True,True,False,True
fwd_psh_flags_std,True,True,False,True
fwd_psh_flags_sum,True,True,False,True
fwd_psh_flags_min,True,True,False,True
fwd_psh_flags_max,True,True,False,True
bwd_psh_flags_mean,True,True,False,True
bwd_psh_flags_std,True,True,False,True
bwd_psh_flags_sum,True,True,False,True
bwd_psh_flags_min,True,True,False,True
bwd_psh_flags_max,True,True,False,True
fwd_urg_flags_mean,True,True,False,True
fwd_urg_flags_std,True,True,False,True
fwd_urg_flags_sum,True,True,False,True
fwd_urg_flags_min,True,True,False,True
fwd_urg_flags_max,True,True,False,True
bwd_urg_flags_mean,True,True,False,True
bwd_urg_flags_std,True,True,False,True
bwd_urg_flags_sum,True,True,False,True
bwd_urg_flags_min,True,True,False,True
bwd_urg_flags_max,True,True,False,True
fwd_header_len_mean,True,True,False,True
fwd_header_len_std,True,True,False,True
fwd_header_len_sum,True,True,False,True
fwd_header_len_min,True,True,False,True
fwd_header_len_max,True,True,False,True
bwd_header_len_mean,True,True,False,True
bwd_header_len_std,True,True,False,True
bwd_header_len_sum,True,True,False,True
bwd_header_len_min,True,True,False,True
bwd_header_len_max,True,True,False,True
fwd_pkts_per_sec_mean,True,True,False,True
fwd_pkts_per_sec_std,True,True,False,True
fwd_pkts_per_sec_sum,True,True,False,True
fwd_pkts_per_sec_min,True,True,False,True
fwd_pkts_per_sec_max,True,True,False,True
bwd_pkts_per_sec_mean,True,True,False,True
bwd_pkts_per_sec_std,True,True,False,True
bwd_pkts_per_sec_sum,True,True,False,True
bwd_pkts_per_sec_min,True,True,False,True
bwd_pkts_per_sec_max,True,True,False,True
pkt_len_min_mean,True,True,False,True
pkt_len_min_std,True,True,False,True
pkt_len_min_sum,True,True,False,True
pkt_len_min_min,True,True,False,True
pkt_len_min_max,True,True,False,True
pkt_len_max_mean,True,True,False,True
pkt_len_max_std,True,True,False,True
pkt_len_max_sum,True,True,False,True
pkt_len_max_min,True,True,False,True
pkt_len_max_max,True,True,False,True
pkt_len_mean_mean,True,True,False,True
pkt_len_mean_std,True,True,False,True
pkt_len_mean_sum,True,True,False,True
pkt_len_mean_min,True,True,False,True
pkt_len_mean_max,True,True,False,True
pkt_len_std_mean,True,True,False,True
pkt_len_std_std,True,True,False,True
pkt_len_std_sum,True,True,False,True
pkt_len_std_min,True,True,False,True
pkt_len_std_max,True,True,False,True
pkt_len_var_mean,True,True,False,True
pkt_len_var_std,True,True,False,True
pkt_len_var_sum,True,True,False,True
pkt_len_var_min,True,True,False,True
pkt_len_var_max,True,True,False,True
fin_flag_cnt_mean,True,True,False,True
fin_flag_cnt_std,True,True,False,True
fin_flag_cnt_sum,True,True,False,True
fin_flag_cnt_min,True,True,False,True
fin_flag_cnt_max,True,True,False,True
syn_flag_cnt_mean,True,True,False,True
syn_flag_cnt_std,True,True,False,True
syn_flag_cnt_sum,True,True,False,True
syn_flag_cnt_min,True,True,False,True
syn_flag_cnt_max,True,True,False,True
rst_flag_cnt_mean,True,True,False,True
rst_flag_cnt_std,True,True,False,True
rst_flag_cnt_sum,True,True,False,True
rst_flag_cnt_min,True,True,False,True
rst_flag_cnt_max,True,True,False,True
psh_flag_cnt_mean,True,True,False,True
psh_flag_cnt_std,True,True,False,True
psh_flag_cnt_sum,True,True,False,True
psh_flag_cnt_min,True,True,False,True
psh_flag_cnt_max,True,True,False,True
ack_flag_cnt_mean,True,True,False,True
ack_flag_cnt_std,True,True,False,True
ack_flag_cnt_sum,True,True,False,True
ack_flag_cnt_min,True,True,False,True
ack_flag_cnt_max,True,True,False,True
urg_flag_cnt_mean,True,True,False,True
urg_flag_cnt_std,True,True,False,True
urg_flag_cnt_sum,True,True,False,True
urg_flag_cnt_min,True,True,False,True
urg_flag_cnt_max,True,True,False,True
cwe_flag_cnt_mean,True,True,False,True
cwe_flag_cnt_std,True,True,False,True
cwe_flag_cnt_sum,True,True,False,True
cwe_flag_cnt_min,True,True,False,True
cwe_flag_cnt_max,True,True,False,True
ece_flag_cnt_mean,True,True,False,True
ece_flag_cnt_std,True,True,False,True
ece_flag_cnt_sum,True,True,False,True
ece_flag_cnt_min,True,True,False,True
ece_flag_cnt_max,True,True,False,True
down_up_ratio_mean,True,True,False,True
down_up_ratio_std,True,True,False,True
down_up_ratio_sum,True,True,False,True
down_up_ratio_min,True,True,False,True
down_up_ratio_max,True,True,False,True
pkt_size_avg_mean,True,True,False,True
pkt_size_avg_std,True,True,False,True
pkt_size_avg_sum,True,True,False,True
pkt_size_avg_min,True,True,False,True
pkt_size_avg_max,True,True,False,True
fwd_seg_size_avg_mean,True,True,False,True
fwd_seg_size_avg_std,True,True,False,True
fwd_seg_size_avg_sum,True,True,False,True
fwd_seg_size_avg_min,True,True,False,True
fwd_seg_size_avg_max,True,True,False,True
bwd_seg_size_avg_mean,True,True,False,True
bwd_seg_size_avg_std,True,True,False,True
bwd_seg_size_avg_sum,True,True,False,True
bwd_seg_size_avg_min,True,True,False,True
bwd_seg_size_avg_max,True,True,False,True
fwd_byts_b_avg_mean,True,True,False,True
fwd_byts_b_avg_std,True,True,False,True
fwd_byts_b_avg_sum,True,True,False,True
fwd_byts_b_avg_min,True,True,False,True
fwd_byts_b_avg_max,True,True,False,True
fwd_pkts_b_avg_mean,True,True,False,True
fwd_pkts_b_avg_std,True,True,False,True
fwd_pkts_b_avg_sum,True,True,False,True
fwd_pkts_b_avg_min,True,True,False,True
fwd_pkts_b_avg_max,True,True,False,True
fwd_blk_rate_avg_mean,True,True,False,True
fwd_blk_rate_avg_std,True,True,False,True
fwd_blk_rate_avg_sum,True,True,False,True
fwd_blk_rate_avg_min,True,True,False,True
fwd_blk_rate_avg_max,True,True,False,True
bwd_byts_b_avg_mean,True,True,False,True
bwd_byts_b_avg_std,True,True,False,True
bwd_byts_b_avg_sum,True,True,False,True
bwd_byts_b_avg_min,True,True,False,True
bwd_byts_b_avg_max,True,True,False,True
bwd_pkts_b_avg_mean,True,True,False,True
bwd_pkts_b_avg_std,True,True,False,True
bwd_pkts_b_avg_sum,True,True,False,True
bwd_pkts_b_avg_min,True,True,False,True
bwd_pkts_b_avg_max,True,True,False,True
bwd_blk_rate_avg_mean,True,True,False,True
bwd_blk_rate_avg_std,True,True,False,True
bwd_blk_rate_avg_sum,True,True,False,True
bwd_blk_rate_avg_min,True,True,False,True
bwd_blk_rate_avg_max,True,True,False,True
subflow_fwd_pkts_mean,True,True,False,True
subflow_fwd_pkts_std,True,True,False,True
subflow_fwd_pkts_sum,True,True,False,True
subflow_fwd_pkts_min,True,True,False,True
subflow_fwd_pkts_max,True,True,False,True
subflow_fwd_byts_mean,True,True,False,True
subflow_fwd_byts_std,True,True,False,True
subflow_fwd_byts_sum,True,True,False,True
subflow_fwd_byts_min,True,True,False,True
subflow_fwd_byts_max,True,True,False,True
subflow_bwd_pkts_mean,True,True,False,True
subflow_bwd_pkts_std,True,True,False,True
subflow_bwd_pkts_sum,True,True,False,True
subflow_bwd_pkts_min,True,True,False,True
subflow_bwd_pkts_max,True,True,False,True
subflow_bwd_byts_mean,True,True,False,True
subflow_bwd_byts_std,True,True,False,True
subflow_bwd_byts_sum,True,True,False,True
subflow_bwd_byts_min,True,True,False,True
subflow_bwd_byts_max,True,True,False,True
window_size_fwd_mean,True,True,False,True
window_size_fwd_std,True,True,False,True
window_size_fwd_sum,True,True,False,True
window_size_fwd_min,True,True,False,True
window_size_fwd_max,True,True,False,True
window_size_bwd_mean,True,True,False,True
window_size_bwd_std,True,True,False,True
window_size_bwd_sum,True,True,False,True
window_size_bwd_min,True,True,False,True
window_size_bwd_max,True,True,False,True
fwd_act_data_pkts_mean,True,True,False,True
fwd_act_data_pkts_std,True,True,False,True
fwd_act_data_pkts_sum,True,True,False,True
fwd_act_data_pkts_min,True,True,False,True
fwd_act_data_pkts_max,True,True,False,True
fwd_seg_size_min_mean,True,True,False,True
fwd_seg_size_min_std,True,True,False,True
fwd_seg_size_min_sum,True,True,False,True
fwd_seg_size_min_min,True,True,False,True
fwd_seg_size_min_max,True,True,False,True
active_mean_mean,True,True,False,True
active_mean_std,True,True,False,True
active_mean_sum,True,True,False,True
active_mean_min,True,True,False,True
active_mean_max,True,True,False,True
active_std_mean,True,True,False,True
active_std_std,True,True,False,True
active_std_sum,True,True,False,True
active_std_min,True,True,False,True
active_std_max,True,True,False,True
active_max_mean,True,True,False,True
active_max_std,True,True,False,True
active_max_sum,True,True,False,True
active_max_min,True,True,False,True
active_max_max,True,True,False,True
active_min_mean,True,True,False,True
active_min_std,True,True,False,True
active_min_sum,True,True,False,True
active_min_min,True,True,False,True
active_min_max,True,True,False,True
idle_mean_mean,True,True,False,True
idle_mean_std,True,True,False,True
idle_mean_sum,True,True,False,True
idle_mean_min,True,True,False,True
idle_mean_max,True,True,False,True
idle_std_mean,True,True,False,True
idle_std_std,True,True,False,True
idle_std_sum,True,True,False,True
idle_std_min,True,True,False,True
idle_std_max,True,True,False,True
idle_max_mean,True,True,False,True
idle_max_std,True,True,False,True
idle_max_sum,True,True,False,True
idle_max_min,True,True,False,True
idle_max_max,True,True,False,True
idle_min_mean,True,True,False,True
idle_min_std,True,True,False,True
idle_min_sum,True,True,False,True
idle_min_min,True,True,False,True
idle_min_max,True,True,False,True
duration_sec_mean,True,True,False,True
duration_sec_std,True,True,False,True
duration_sec_sum,True,True,False,True
duration_sec_min,True,True,False,True
duration_sec_max,True,True,False,True
flow_count,True,True,False,True
unique_dst_ports_count,True,True,False,True
unique_protocols_count,True,True,False,True
mask_has_traffic_volume_features,True,True,False,True
mask_has_flow_timing_features,True,True,False,True
mask_has_packet_level_features,True,True,False,True
mask_has_tcp_flags,True,True,False,True
mask_has_graph_topology,True,True,False,True
mask_has_identity_auth,True,True,False,True
pkt_ttl_min,True,True,False,True
pkt_ttl_max,True,True,False,True
pkt_ttl_std,True,True,False,True
pkt_ttl_mode,True,True,False,True
pkt_frag_mf_count,True,True,False,True
pkt_frag_df_count,True,True,False,True
pkt_payload_size_p25,True,True,False,True
pkt_payload_size_p50,True,True,False,True
pkt_payload_size_p75,True,True,False,True
pkt_payload_size_p95,True,True,False,True
pkt_tcp_retrans_count,True,True,False,True
pkt_port_scan_seq_score,True,True,False,True
